下爿,下头，与“顶爿”相对。下手。,
下世,来生。‖也叫【后世】在第4页。,
下半暝,下半夜。,
下头,下面。与“顶头”相对。,
下礼拜,下星期。,
下年,明年。,
下向,下面。与“顶向”相对。,
下向爿,下边，与“顶向爿”相对。,
下行,下一辈。,
下衣弧,衣服的下缘。,
下时,近来：我～厄少去下乡（我近来较少下乡）。,
下间,莆仙民居，多进房子，前面第一座房子门前场院两边盖的房子。一般是连续横向三间，两边门户相对。‖也叫【护厝】在第95页。,
下间拖,莆仙民居，正房两旁厢厅向前延伸的房子。,
下尾拖,在原来的房屋后面再续接的房间，以作后厢房。,
下范,后一阵子。,
下季,晚季。,
下季米,晚稻米。,
下季草,晚稻脱粒后的稻草。,
下季粙,晚稻。,
下底,下面，与“顶头”相对。‖也叫【下底头】见下方。,
下底头,同见上方【下底】。,
下面话,同【乞食话】在第113页。,
下昼,下午。‖也叫【下昼时】见下方。,
下昼牙,午饭与晚饭之间吃的点心。,
下昼时,同见上方【下昼】。,
下昼尾,将近黄昏的时候。,
下昼尾尾,黄昏。,
下座,莆仙民居，在护厝的末端、正房正前方，续盖跟正厝格局相同、朝向一样的房子。△顶座未起起～（喻同胞兄弟姐妹中，年纪小的比年纪大的早结婚）。‖参看【护厝】在第95页。,
下座照,莆仙民居，正房前院所建的一排面向正房房子。,
下脚肚,小腿。,
下脚肚,小腿。,
下番,后一阵子；下次。,
下颏,下巴。也称下口。,
下满,下次；等下。与“顶满”相对。,
下嘴接,接嘴：我讲未曾了，汝伓通～（我还没有说完，你不要紧接着说）。,
押,强制：～行（赶走）|～伊去做，无伊逐日都是许搭聊（叫他去干，要不然他天天都在玩）|△羊肉～侬生食（喻强加于人）。,
鸭母,母鸭。,
鸭交,公鸭。,
鸭交声,青春期的男孩变声。,
鸭卵绿,极淡的青色。,
鸭咪,鸭子。,
鸭胗,鸭肫。,
鸭蛋圈,零分。,
哦是,唯唯诺诺，一味附和。,
鴨管鹅,小的管大的。,
沃,①淋：～雨|△雨～元宵灯，日曝清明田（元宵节下雨，预兆清明前后多晴少雨）②浇灌：～菜|～肥。,
沃水,浇水。,
沃花,浇花。,
沃肥,施肥‖也叫在第152页【泼肥】,
沃菜,浇菜。,
沃粗水,给农作物浇施人粪尿。,
恶物,癌之类的不治之症。,
恶少,恶霸。,
塕,①（尘土）飞扬：楼顶装修土粉～到楼下。②洒：～肥粉（洒化肥，施肥）|地下～六六粉。,
塕尘,灰尘。,
塕肥粉,撒化肥。,
王不见王,象棋下法之一。将与帅不能对面相见。,
王爿,汉字偏旁，王字旁“??”。,
王爷,喻横行霸道的人。,
王番,银元。‖又叫【大番】在第60页。,
番钱囝,硬币。,
往,①事情多，不得空，跟“闲”相对：我无空，实在～。②急迫不停地、加紧做：汝最近～甚么？,
往日过,同见下方【往过】。,
往过,以前；过去：我～有到许个地方。‖又叫【往日过】见上方。,
往时,同见下方【往常时】。,
往转,回来：厄紧～（快回来）。,
往常时,以往，过去：～厝无起偌悬（以往房子没有盖得这么高）。‖也叫【往时】见上方。,
瓮,小洞。,
蕹菜,空心菜。,
旺梨,菠萝。△蜀果买～，三果倩侬刣（一个钱买菠萝，三个钱雇人削皮。菠萝表面坑坑洼洼，很难削）。,
平,①表面没有高低凹凸，像静止的水面一样:地势①。②口音合于当地的：者个侬讲话～。,
平平,①一样：两件衫～长|两个人～岁。②说话不带腔调：话讲～。,
平扯,扯平：今旦钱还了咯，现时齐厮～咯。,
平直,清楚；公正合理：话讲到～（把话说清楚）|～的事体。,
平底脚,平底足。足弓低平。,
平洋,小块平原。‖又叫【洋】在第102页。,
平悬平大,①个子一样高大。②地位一样高：我甲伊～，无惊伊。,
平煞,平息，罢休：伊那无乞我赔礼道歉，我笃伓肯～。,
白仁,眼球的玻璃体部分。,
白公,‖同【丁心公】在第50页。,
白玉兰,白兰花。,
白头□,头屑。,
白吐红,一种花，龙吐珠。,
白肉,肥肉。,
白豆,眉豆。,
白纸乌字,白纸黑字：△～，留落尾就是凭据（留下的字就是凭证）。,
白纸簿,没有格子的本子。,
白肥,又白又胖：者呆囝白～大好看。,
白虹,日月周围的白色晕圈。△青虹～，曝死老蚌（日月周围出现白色或青色的晕圈，预兆天大旱）。,
白食肥,只吃饭不吃下饭的菜。,
白食咸,只吃下饭的菜，不吃饭。,
白瓷,瓷器。,
白涂,白土，火山灰的变质岩。,
白馃,莆仙特色食品。优质冬米蒸熟后，用石臼捣，压成块，或用印模印成饼状。由于常用作礼品，上面沾上食用红。,
白?,表皮白色的海蜇皮。,
白膏,蛋白。,
